"","SRR8581315","SRR8581316","SRR8581317","SRR8581318","SRR8581319","SRR8581320"
"ENSMUSG00000051285",11.4356735624879,11.2763058975626,11.4864796216464,11.6672988557404,11.5499702937611,11.5814944995884
"ENSMUSG00000103509",5.50752879489982,5.8442503676718,5.82803664953146,6.55601480474008,6.41831086865418,5.88246440397939
"ENSMUSG00000048538",10.7699981396697,10.1835787360633,10.2386487805087,11.2455577436984,11.4118139726183,11.1242828193521
"ENSMUSG00000057363",8.28261442372561,8.01675773928501,8.03359195970683,7.97502908286265,8.1380461121148,8.06798660331103
"ENSMUSG00000038702",6.07621802374473,6.11777169437211,6.37491599032174,6.44464000329227,6.02458220623628,6.31822869237132
"ENSMUSG00000084353",6.37423573011594,6.46179243213824,6.55848410990359,6.44464000329227,5.79440541545776,6.01267429130903
"ENSMUSG00000061024",9.25016879065889,9.30101321395163,9.22436161195238,9.2579815552347,9.39026251956479,9.13001653464131
"ENSMUSG00000025911",12.0495302172328,11.9683197938519,11.970842895023,12.3273513925149,12.3379086555131,12.1360766699931
"ENSMUSG00000081441",5.8979382291084,5.60372752250655,6.00565863489013,6.48301308265476,6.05281502351856,6.12579411885699
"ENSMUSG00000067879",5.61803903306863,5.71071335035483,6.0318881547151,5.80986703569677,5.71320247919518,5.37022603985791
"ENSMUSG00000057335",8.3096165254479,8.01046658066623,8.85937179548461,8.6719686235352,8.81783975978676,8.63790702722472
"ENSMUSG00000025912",6.46926614522795,6.70595807385924,7.17237221192607,6.72051609407589,6.61183669245574,6.71752469116629
"ENSMUSG00000045210",10.1833719881242,9.78097381042432,9.98522117868315,10.1856530776167,10.1286215906021,10.1612852590048
"ENSMUSG00000041763",10.0615018145537,10.0017828731917,10.215112950318,10.4718995950823,10.257610017478,10.2360016102541
"ENSMUSG00000026504",8.85143150916951,9.10504731979259,8.78250312416322,8.98024780067964,8.72032481961389,8.87562186003423
"ENSMUSG00000102211",5.93041025256649,5.92149947949751,5.59203284013716,5.51944199164545,5.36380450783103,5.57784216948495
"ENSMUSG00000026483",7.37374434747081,6.9916620438391,7.36345846693336,7.39359072575612,7.23268425504242,7.45170592957227
"ENSMUSG00000019699",7.14454398112915,6.83441065326274,7.16299091908292,7.07779374962278,7.18259209695969,7.35305914640585
"ENSMUSG00000063659",9.7784406282755,9.56305623530044,9.85000788969878,9.72758401463618,9.73515279001244,9.72928930438375
"ENSMUSG00000102432",5.86407536369426,6.08793291793139,6.3929361866274,5.91872634816759,6.33854376538282,5.84631595942867
"ENSMUSG00000026049",7.03576035696312,7.16719618785349,7.20923834537172,7.14514442646086,6.89807510745137,6.9911293740102
"ENSMUSG00000043019",10.3385469221478,9.72146407579241,10.2365249778579,10.2449717914838,10.4922592290114,10.2225905499497
"ENSMUSG00000032666",6.891654286984,6.87930030882777,7.23622348100957,7.25019280099585,7.19276480925687,7.08579385040541
"ENSMUSG00000015961",10.8840431990174,10.7191908992326,10.7042788556102,10.916861658226,10.8195561892962,10.7686226847746
"ENSMUSG00000014980",7.88031089020269,8.08415647284768,7.91987457552482,7.94504744288622,7.97692188510482,7.68908863708591
"ENSMUSG00000026235",5.61803903306863,5.99198429844353,5.95066119349011,5.63252167230853,5.86730142482859,5.45079632756026
"ENSMUSG00000032649",5.99173360480429,5.54170303282074,5.86055178298552,6.29845678077708,6.37917273196224,5.91701104974649
"ENSMUSG00000026047",7.95112385270355,7.7551324774348,7.98304710754343,7.64886886554038,7.90088812930716,7.64480094070442
"ENSMUSG00000041684",8.78281442937382,8.45538213458494,8.68255697399566,8.54315909609554,8.76013395503418,8.59666585016588
"ENSMUSG00000032908",5.8979382291084,5.54170303282074,5.82803664953146,5.68161146098814,5.83174689528705,5.51845833253231
"ENSMUSG00000026502",9.1072808619286,9.002285632059,9.38667101072522,8.75635346105244,8.76340177854425,8.92783687074938
"ENSMUSG00000104126",7.10212421806937,6.89390928872134,6.86793033076252,7.06621901100613,7.26184850338376,7.35305914640585
"ENSMUSG00000026500",5.61803903306863,5.8442503676718,5.59203284013716,5.80986703569677,5.79440541545776,5.51845833253231
"ENSMUSG00000026048",9.53561082514775,9.65541550133646,9.84304165973862,9.6045391434205,9.60875801151961,9.64581740265296
"ENSMUSG00000026245",9.66214495686781,9.55241802569632,9.51504569287325,9.60075586374277,9.49389047619814,9.22378018186643
"ENSMUSG00000104018",5.50752879489982,5.65957051675188,5.97860698684937,5.80986703569677,5.83174689528705,5.63132604504604
"ENSMUSG00000090486",6.37423573011594,6.54261131300964,6.57377035415707,6.12787035007898,6.2744738076857,6.20242379907346
"ENSMUSG00000026482",8.68015941207458,8.15984695669796,8.56147018659708,8.64269234039526,8.35835692378135,8.42288752632254
"ENSMUSG00000012187",8.52044972883382,8.88137823919077,8.89495763991563,8.10522257061946,7.96549085557546,7.44303140102
"ENSMUSG00000008475",11.1584722135358,11.093516107351,11.1082709705231,11.0530329018373,11.0026276448965,11.1091318966955
"ENSMUSG00000056870",5.79143980833072,5.92149947949751,6.00565863489013,5.57893775468944,6.13257648437634,6.01267429130903
"ENSMUSG00000039630",12.9653967129297,12.9317697210529,13.0277780342821,13.2185029061415,13.1214138904032,13.1494661523085
"ENSMUSG00000104279",6.07621802374473,6.08793291793139,5.72065731327014,6.07298709213147,5.99540814299219,5.95013414901043
"ENSMUSG00000026495",7.83727414777871,8.00414699087988,7.62044740171385,7.99271376244615,7.94816679733524,7.92243530474824
"ENSMUSG00000032883",8.80814921911082,9.0302129214261,9.4902720459349,9.2579815552347,9.11212955363202,9.12739527700538
"ENSMUSG00000026480",7.22545234319062,7.39292599949897,7.59342336358794,7.20917802495286,7.05387464762834,7.68908863708591
"ENSMUSG00000026494",6.48732129244576,6.27955507936541,6.21831491436037,6.52010535263848,6.33854376538282,5.95013414901043
"ENSMUSG00000025915",8.65242259798988,8.24773886498047,8.82571764522614,8.48239816322164,8.34088903170038,8.8693516144019
"ENSMUSG00000079470",7.76682322794032,7.97857894062747,8.01861939436258,8.47409666511408,8.1878902931117,8.13808802818821
"ENSMUSG00000047330",5.71053111449545,5.65957051675188,5.7583206101155,5.80986703569677,5.36380450783103,5.51845833253231
"ENSMUSG00000055067",7.59933796987456,7.44146826064652,7.44200372213326,7.32858928349875,7.54651382691609,7.44303140102
"ENSMUSG00000054702",5.71053111449545,5.8442503676718,5.89173975029222,5.95190786715216,6.05281502351856,5.72576194784476
"ENSMUSG00000026492",9.64998102497748,9.27793240386729,9.18957410222013,9.53089692243031,9.43179637454155,9.34598511294875
"ENSMUSG00000038949",9.22693071441213,8.79710364852932,9.48848604872336,9.33293798448226,9.32341282333652,9.37497712679513
"ENSMUSG00000026043",10.3536116437291,11.3584695872054,11.6121314029093,9.19154099234167,9.75817317955546,10.1380931426761
"ENSMUSG00000038936",7.04706190347835,7.00502877750132,7.24509692664997,6.72051609407589,6.52796799045238,6.68645877780756
"ENSMUSG00000042772",10.1724885964992,10.1072132405469,10.4393980264311,10.235253411552,10.4250687222492,10.3802271354514
"ENSMUSG00000026042",7.25455129809045,7.82889935380326,8.02861888329997,6.91845108373536,7.26184850338376,7.47739976281013
"ENSMUSG00000073643",9.60747721675055,9.74780297749728,9.83323193812498,9.71539279135402,9.78723968822472,9.85003556299287
"ENSMUSG00000026248",9.58025980258283,9.2727525273763,9.11039933609324,9.07073246681782,9.15744577597337,9.0464410684761
"ENSMUSG00000026249",8.24111764460777,7.89209028464557,7.58658294328672,8.23917936421202,8.17312157921876,7.80066117524783
"ENSMUSG00000067106",6.24766040613743,6.65400647843647,6.3929361866274,6.38442846428426,6.87229486971894,6.49903943964177
"ENSMUSG00000100397",6.48732129244576,6.46179243213824,6.47879678482294,6.2526364914944,6.25219413453281,6.33989571131388
"ENSMUSG00000026491",10.2687358304975,9.72903881305531,10.2226434146026,10.258228414733,10.3621182765543,10.2347875688079
"ENSMUSG00000025917",10.8411818408944,10.7464752566431,10.6872796212501,10.746952884913,10.5750783864529,10.6525384758376
"ENSMUSG00000026479",6.1026962575418,5.99198429844353,6.12973189185945,6.07298709213147,6.20609038706973,5.88246440397939
"ENSMUSG00000004364",11.0224014574972,10.3898357598267,10.6462843574705,10.8674076021894,10.7556981197601,10.9045688141125
"ENSMUSG00000103076",5.50752879489982,5.65957051675188,5.89173975029222,5.76972767489016,6.02458220623628,6.01267429130903
"ENSMUSG00000026478",8.55460862398206,8.93492116062507,9.235061916659,8.68638421158384,8.91793460216974,8.94283824673323
"ENSMUSG00000042699",10.8048556656564,10.4182018362131,10.7324240383203,11.0265264240694,11.0312258066013,11.0322909834565
"ENSMUSG00000042684",6.0489436127431,5.8442503676718,5.7583206101155,5.84790521110029,5.99540814299219,5.98198084130302
"ENSMUSG00000099858",7.72004504372175,7.31140105931118,7.51621948313256,8.62782538289585,8.63005761186323,8.49415246791664
"ENSMUSG00000025986",7.49925214541429,7.27949434109788,7.58658294328672,7.21955225904993,7.00794274971134,7.28626725090888
"ENSMUSG00000100213",6.12843601269266,7.06983913591889,6.25977239862163,6.73577235973634,6.2744738076857,6.07100385280348
"ENSMUSG00000056763",9.62178520638131,9.68492910223159,9.87754044205746,9.59125387891326,9.77116417528732,9.87519929378458
"ENSMUSG00000026475",11.5526023180997,11.9453688085315,12.426785913012,10.4521127435459,10.6170174524062,11.2969956092985
"ENSMUSG00000099568",5.66602577955278,6.05708717801306,6.25977239862163,5.51944199164545,5.44296135149636,5.98198084130302
"ENSMUSG00000045954",8.44956390380721,8.45538213458494,8.78542514573246,8.27316965425816,8.10207282303038,8.023037899986
"ENSMUSG00000066800",7.26410999240046,7.54248476772185,7.48702022261827,7.58744029981487,7.72144729210074,7.91010806540455
"ENSMUSG00000067851",11.113684417608,10.4856500149062,10.8852383972583,11.2388896724989,11.1131302738738,11.219984342727
"ENSMUSG00000038608",7.39117135211753,7.7551324774348,8.23229952251517,8.09436952622506,7.82681238156703,8.5224876575119
"ENSMUSG00000045968",7.01285292836632,7.16719618785349,7.24509692664997,7.37533916453773,7.10906982812579,6.9911293740102
"ENSMUSG00000043282",5.99173360480429,5.88383007181158,6.0573582861746,5.91872634816759,6.0801823501825,6.01267429130903
"ENSMUSG00000026107",9.4175140206246,9.65938581812637,10.0948168941216,9.30993186323221,9.11723603093818,9.29787865800985
"ENSMUSG00000099413",6.24766040613743,6.58095084350266,6.72986279614315,6.2526364914944,6.35905331257305,6.38193528167009
"ENSMUSG00000026473",16.0811537303917,15.4464749280272,15.361060876787,15.4753816717244,15.5508389688311,15.5863551751207
"ENSMUSG00000048960",8.11387968031816,7.41255385748502,7.95181849096378,8.85844898566121,8.65492837436387,8.13808802818821
